battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
842.0,0,2.2,0,1,0,7.0,0.6,188.0,2,2,20,756.0,2549.0,9,7,19.0,0,0,1,1
1021.0,1,0.5,1,0,1,53.0,0.7,136.0,3,6,905,1988.0,2631.0,17,3,7.0,1,1,0,2
563.0,1,0.5,1,2,1,41.0,0.9,145.0,5,6,1263,1716.0,2603.0,11,2,9.0,1,1,0,2
615.0,1,2.5,0,0,0,10.0,0.8,131.0,6,9,1216,1786.0,2769.0,16,8,11.0,1,0,0,2
1821.0,1,1.2,0,13,1,44.0,0.6,141.0,2,14,1208,1212.0,1411.0,8,2,15.0,1,1,0,1
1859.0,0,0.5,1,3,0,22.0,0.7,164.0,1,7,1004,1654.0,1067.0,17,1,10.0,1,0,0,1
1821.0,0,1.7,0,4,1,10.0,0.8,139.0,8,10,381,1018.0,3220.0,13,8,18.0,1,0,1,3
1954.0,0,0.5,1,0,0,24.0,0.8,187.0,4,0,512,1149.0,700.0,16,3,5.0,1,1,1,0
1445.0,1,0.5,0,0,0,53.0,0.7,174.0,7,14,386,836.0,1099.0,17,1,20.0,1,0,0,0
509.0,1,0.6,1,2,1,9.0,0.1,93.0,5,15,1137,1224.0,513.0,19,10,12.0,1,0,0,0
769.0,1,2.9,1,0,0,9.0,0.1,182.0,5,1,248,874.0,3946.0,5,2,7.0,0,0,0,3
1520.0,1,2.2,0,5,1,33.0,0.5,177.0,8,18,151,1005.0,3826.0,14,9,13.0,1,1,1,3
1815.0,0,2.8,0,2,0,33.0,0.6,159.0,4,17,607,748.0,1482.0,18,0,2.0,1,0,0,1
803.0,1,2.1,0,7,0,17.0,1.0,198.0,4,11,344,1440.0,2680.0,7,1,4.0,1,0,1,2
1866.0,0,0.5,0,13,1,52.0,0.7,185.0,1,17,356,563.0,373.0,14,9,3.0,1,0,1,0
775.0,0,1.0,0,3,0,46.0,0.7,159.0,2,16,862,1864.0,568.0,17,15,11.0,1,1,1,0
838.0,0,0.5,0,1,1,13.0,0.1,196.0,8,4,984,1850.0,3554.0,10,9,19.0,1,0,1,3
595.0,0,0.9,1,7,1,23.0,0.1,121.0,3,17,441,810.0,3752.0,10,2,18.0,1,1,0,3
1131.0,1,0.5,1,11,0,49.0,0.6,101.0,5,18,658,878.0,1835.0,19,13,16.0,1,1,0,1
682.0,1,0.5,0,4,0,19.0,1.0,121.0,4,11,902,1064.0,2337.0,11,1,18.0,0,1,1,1
772.0,0,1.1,1,12,0,39.0,0.8,81.0,7,14,1314,1854.0,2819.0,17,15,3.0,1,1,0,3
1709.0,1,2.1,0,1,0,13.0,1.0,156.0,2,2,974,1385.0,3283.0,17,1,15.0,1,0,0,3
1949.0,0,2.6,1,4,0,47.0,0.3,199.0,4,7,407,822.0,1433.0,11,5,20.0,0,0,1,1
1602.0,1,2.8,1,4,1,38.0,0.7,114.0,3,20,466,788.0,1037.0,8,7,20.0,1,0,0,0
503.0,0,1.2,1,5,1,8.0,0.4,111.0,3,13,201,1245.0,2583.0,11,0,12.0,1,0,0,1
961.0,1,1.4,1,0,1,57.0,0.6,114.0,8,3,291,1434.0,2782.0,18,9,7.0,1,1,1,2
519.0,1,1.6,1,7,1,51.0,0.3,132.0,4,19,550,645.0,3763.0,16,1,4.0,1,0,1,3
956.0,0,0.5,0,1,1,41.0,1.0,143.0,7,6,511,1075.0,3286.0,17,8,12.0,1,1,0,3
1453.0,0,1.6,1,12,1,52.0,0.3,96.0,2,18,187,1311.0,2373.0,10,1,10.0,1,1,1,2
851.0,0,0.5,0,3,0,21.0,0.4,200.0,5,7,1171,1263.0,478.0,12,7,10.0,1,0,1,0
1579.0,1,0.5,1,0,0,5.0,0.2,88.0,7,9,1358,1739.0,3532.0,17,11,12.0,0,0,1,3
1568.0,1,0.5,0,16,0,33.0,1.0,150.0,8,20,413,654.0,508.0,5,1,6.0,1,1,1,0
1319.0,1,0.9,0,3,1,41.0,0.9,107.0,1,18,85,1152.0,2227.0,18,5,3.0,1,1,1,1
